config,question,right_answer,generated_answer,correct
Standard,Which prefecture is the city where the Japanese actor Akiji Kobayashi passed away the capital of?,Kanagawa Prefecture,Tokyo Prefecture,False
Standard,In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,2002,"The Korean student scholarship established by Eui-sik Lee, the chairman of Samsung Group, was created in 1968.",False
Standard,Cooper pairs were first described by an American physicist born in what year?,1930,1906,False
Standard,Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,"Jang Yeong-sil stars Lee Byung-hun, who was best known for his role in the 2006 hit drama series ""Soldier's Daughter"" (㎞킬러 딸).",False
Standard,Which actor in The 39 Steps also starred in the series The Strain?,Rupert Penry-Jones,Robert Logan starred in both The 39 Steps and The Strain.,False
Standard,Were both the Hanover Hound and Toy Trawler Spaniel introduced to France?,no,"No, the Toy Trawler Spaniel was never recognized as a breed and is not considered to have been introduced anywhere, including France. The Hanover Hound, however, originated in Germany and could have been introduced to France, but there's no specific historical record indicating it was introduced there.",True
Standard,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,Medici was created by Reiner Knizia.,True
Standard,Were George Melford and Giuseppe Tornatore both actors?,no,"No, George Melford and Giuseppe Tornatore were not both actors. George Melford was an American actor, while Giuseppe Tornatore is an Italian filmmaker and director.",True
Standard,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,Kazushi Sakuraba,Akihiro Gono worked for the Dream organization in many of their promoted MMA shows.,False
Standard,"Which catherdral is located in London, Norwich Cathedral or St Paul's Cathedral?",St Paul's Cathedral,St Paul's Cathedral is located in London.,True
Standard,"Which musican is older, Tom Verlaine or David Vincent?",Tom Verlaine,"Tom Verlaine is older than David Vincent. Tom Verlaine was born in 1947, while David Vincent was born in 1962.",True
Standard,"Who owns a mall in Youngstown, Ohio with a BAM! store?",Cafaro Company,"The ownership of a mall in Youngstown, Ohio that contains a BAM! store is not specified in the given information. Ownership could be held by a real estate investment trust (REIT), a private company, or another entity. For an accurate answer, specific ownership details would need to be provided or researched.",False
Standard,When was the rapper on Lil B.I.G. Pac born?,"June 11, 1997","Lil B.I.G. Pac, whose real name is Bilious James, was born on February 21, 1987.",False
Citation,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,"Bebe Rexha guested on the song produced by Afrojack, a Dutch DJ.",True
Citation,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"No, Yukio Mishima was Japanese and Roberto Bolaño was Mexican-Chilean.",True
Citation,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"""Laser Light"" was the Lindsey Stirling song whose video received 1.3 million views on YouTube in just one day.",False
Citation,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,"The German field army that named the 1st Battle of Kharkov was the 6th Army, which was formed in 1942.",False
Citation,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,"The nationality of Heart, the rock band, is Canadian and American.",True
Citation,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,Daimaou Kosaka,False
Citation,What was the population of the terminus of the Willunga railway line in 2011,"2,416","According to the 2011 Australian Census, the population of Willunga, which was the terminus of the Willunga railway line, was 947.",False
Citation,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"Gaten Matarazzo began his career on the Broadway stage as the character Bernadette in ""Priscilla, Queen of the Desert.""",False
Citation,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,"Shirley Babcock collaborated with Jerry Bock to write the lyrics for ""Portofino"" on ""Fiddler on the Roof.""",False
Citation,What Hockey team does Evander Kane play for?,Buffalo Sabres,Evander Kane currently plays for the Colorado Avalanche.,False
Citation,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,Hermitage Castle,True
Citation,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,"The movie co-written by the director of ""Blood"" is ""Underworld."" The director, Len Wiseman, also wrote ""Underworld"" along with Mark Boal.",True
Citation,"Which genus has more species, Fir or Chelone?",Firs,"Fir (Abies) has more species than Chelone. Abies contains about 50-60 species, while Chelone has only 4-5 species.",False
Citation,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,Maytenus is more widely spread around the world compared to Eucommia.,True
Citation,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","The question is incomplete as it doesn't specify which American rapper is being referred to. House Shoes produced albums for several rappers, including Tech N9ne, who was born on October 12, 1977. If you provide the name of the specific rapper, I can give you an accurate birth date.",False
Citation,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,Mel Duncan holds a degree from Macalester College.,True
Citation,"In which town was the 1987 American drama film Ironweed, shot on location that featured a 400 acre pastoral cemetery?","Colonie, New York","The 1987 American drama film Ironweed was shot on location in Glens Falls, New York, featuring a 400-acre pastoral cemetery known as Mountain View Cemetery.",False
Citation, Are Phil Mogg and Dave Peters musicians?,yes,"Yes, Phil Mogg and Dave Peters are musicians. Phil Mogg is best known as the lead vocalist of UFO, and Dave Peters has been the bassist for several bands including UFO and later Vicious Rumors.",True
Citation,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","The Sia song ""Never Give Up"" is from the soundtrack of the film ""Unbroken,"" which is based on the non-fiction book ""Unbroken: A World War II Story of Survival, Resilience, and Redemption"" by Laura Hillenbrand.",True
Citation,"What was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad?",Tasawwuf,"The branch of the Khalwatiyya order founded by Sayyid Hasan Husameddin is known as the Qadiriyya order, which has connections to the cousin and son-in-law of Muhammad through its spiritual lineage.",False
Citation,"Toby Williams is a British actor, writer and award-winning stand-up comedian, he has appeared in which British comedy television series, shown on the Sky Living channel?",Trying Again,"Toby Williams appeared in ""The League of Gentlemen's Apocalypse,"" a British comedy television series shown on the Sky Living channel.",False
Citation,"who had more fame as a solo artist, Jacoby Shaddix or John Waite",John Charles Waite,"Jacob Yankoski, professionally known as Jacoby Shaddix, gained more widespread fame as the lead vocalist of the band Papa Roach, compared to John Waite, who had significant fame as a solo artist and as a member of Traffic and as a backing vocalist for The Babys. However, John Waite is more recognized for his solo work and hit songs like ""Missing You.""",True
Citation,What is another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit in support of?,Sickle-cell disease,Another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit to support is Thalassemia.,False
Citation,The special operations force of the Irish Defence Forces had access to what according tothe modern weapons of the Irish Arm? ,a wide variety of specialist weapons,"The special operations force of the Irish Defence Forces, according to ""Modern Weapons of the Irish Army,"" had access to a variety of specialized equipment and weapons, including explosives, surveillance gear, and possibly light armaments suitable for covert operations.",True
Citation,Where is the Peppers Manor House and the New South Wales State Heritage Register located?,Australia,"Peppers Manor House and its location in the New South Wales State Heritage Register is located in Stockton, New South Wales, Australia.",True
Citation,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,"The 2010 Washington Huskies head coach was Chris Petersen, who currently works for the Boise State University football program.",False
Citation,What country of origin does Patrick Brice and Creep have in common?,American,United Kingdom,False
Citation,Where is the base of one of the three main British intelligence agencies?,Cheltenham,"The base of one of the three main British intelligence agencies, GCHQ (Government Communications Headquarters), is located in Cheltenham, England.",True
Citation,Where did the fairy Queen Mab orginate?  ,William Shakespeare,"The fairy Queen Mab originated in British folklore and literature, first appearing in William Shakespeare's play ""Romeo and Juliet"" (1597).",True
Citation,What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,Emma Matthews was famous for her coloratura soprano.,False
Citation,"The 2011 Major League Soccer All-Star Game, held on July 27, 2011, was the 16th annual Major League Soccer All-Star Game, Manchester United won the game 4–0 with goals from players, including Daniel Nii Tackie Mensah Welbeck, an English professional footballer who plays for which organization, club Arsenal and the England national team?",Premier League,Daniel Nii Tackie Mensah Welbeck plays for Manchester United and the England national team.,False
Citation,Near what river is the library that contains the Aberdeen Bestiary located?,the River Thames,"The Aberdeen Bestiary is located in the University of Aberdeen, which is near the River Don.",True
Citation,What life member of The Actors Studio often portraying military or authority figure roles stared in a film that  was directed by Richard Wilson?,Robert F. Simon,"Lee J. Cobb often portrayed military or authority figure roles and starred in the film ""Twelve O'Clock High"" directed by Richard Wilson.",False
Citation,"Proud To Commit Commercial Suicide is a live album by industrial metal band Nailbomb and captures the band's only live appearance at the 1995 Dynamo Open Air Festival, the album cover is a picture of the aftermath of which infamous remote settlement established by the Peoples Temple, an American socialist organization under the leadership of Jim Jones, in northwestern Guyana?",Jonestown,Jonestown,True
Citation,Who directed the film in which Christoph Koncz starred as Kaspar Weiss ?,François Girard,"The film you're referring to is ""The Night of the Hunter"" (1955), directed by Charles Laughton.",False
Citation,"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",1994,1994,True
Citation,Are Monoral and Versus both rock bands?,yes,"No, Versus is not a rock band; Monoral is a rock band. Versus is generally known as an American indie pop band.",False
Citation,Which prefecture is the city where the Japanese actor Akiji Kobayashi passed away the capital of?,Kanagawa Prefecture,Tokyo,False
Citation,In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,2002,"The Korean student scholarship established by Eui-sik Lee, a South Korean business magnate and the chairman of Samsung Group, was established in 1971.",False
Citation,Cooper pairs were first described by an American physicist born in what year?,1930,"Cooper pairs were first described by an American physicist born in 1930, John Bardeen.",True
Citation,Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,"Jang Yeong-sil is a historical drama starring Song Seung-heon, who was best known for his role in the 2006 hit drama series ""Winter Sonata.""",False
Citation,Which actor in The 39 Steps also starred in the series The Strain?,Rupert Penry-Jones,"Robert Pattinson starred in both ""The 39 Steps"" (2008) and the series ""The Strain"" (2014-2017).",False
Citation,Were both the Hanover Hound and Toy Trawler Spaniel introduced to France?,no,"No, the Toy Trawler Spaniel was not introduced to France; it is considered extinct. The Hanover Hound, however, originated in France but was later developed into the Braque d'Hanovre.",True
Citation,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,Medici was created by Reiner Knizia.,True
Citation,Were George Melford and Giuseppe Tornatore both actors?,no,"No, George Melford and Giuseppe Tornatore were not both actors. George Melford was an American actor, while Giuseppe Tornatore is an Italian filmmaker and director known for movies like ""Cinema Paradiso.""",True
Citation,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,Kazushi Sakuraba,A notable Japanese mixed martial artist who worked for the Dream organization is Tatsuya Kawajiri.,False
Citation,"Which catherdral is located in London, Norwich Cathedral or St Paul's Cathedral?",St Paul's Cathedral,St Paul's Cathedral is located in London.,True
Citation,"Which musican is older, Tom Verlaine or David Vincent?",Tom Verlaine,"Tom Verlaine is older than David Vincent. Verlaine was born in 1947, while David Vincent was born in 1962.",True
Citation,"Who owns a mall in Youngstown, Ohio with a BAM! store?",Cafaro Company,"The ownership of a mall in Youngstown, Ohio that contains a BAM! store is not specified in the given information. To provide an accurate answer, the specific mall and its owner would need to be identified first.",False
Citation,When was the rapper on Lil B.I.G. Pac born?,"June 11, 1997","Lil B.I.G. Pac, whose real name is Benjamin Paul Martin, was born on February 27, 1985.",False
Self-Reflection,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,"Step 1: Understand the question and any provided context.
The question asks about a collaboration between Bebe Rexha and David Guetta, specifically mentioning that the song was produced by a Dutch DJ. The key points are:
- Bebe Rexha is a singer
- She guested on a song with David Guetta
- The producer of the song is a Dutch DJ

Step 2: Generate the answer.
Bebe Rexha guested on the song ""Titanium"" with David Guetta, which was produced by a Dutch DJ named Christian Lloyd.

Step 3: Reflect on the answer.
This answer is partially correct but needs some clarification. While Christian Lloyd did produce the song ""Titanium"" with David Guetta and Bebe Rexha, it's important to note that Christian Lloyd is actually British, not Dutch. However, the song was indeed produced by a Dutch producer, Armin van Buuren, who co-produced the track with David Guetta.

Final Answer and Reflection:
Bebe Rexha guested on the song ""Titanium"" with David Guetta, which was co-produced by the Dutch producer Armin van Buuren and David Guetta. The initial answer was close but incorrect in stating that the producer was Dutch. It's important",False
Self-Reflection,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"Step 1: Understand the question and any provided context.
The question asks whether Yukio Mishima and Roberto Bolaño are Chilean.

Step 2: Generate the answer.
- Yukio Mishima was not Chilean. He was a Japanese author, born in Tokyo, Japan in 1925.
- Roberto Bolaño was Chilean. He was born in Santiago, Chile, in 1953.

Step 3: Reflect on the answer.
This answer is fully supported by the context of the authors' nationalities. Yukio Mishima is well-known as a significant figure in Japanese literature, while Roberto Bolaño is recognized for his contributions to Latin American literature, particularly from Chile.

Final Answer: No, Yukio Mishima and Roberto Bolaño are not both Chilean. Yukio Mishima was Japanese, while Roberto Bolaño was Chilean.",True
Self-Reflection,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"Step 1: Understand the question and any provided context.
The question asks about a specific Lindsey Stirling song whose video reached 1.3 million views on YouTube within one day of being posted.

Step 2: Generate the answer.
Lindsey Stirling's song ""Crystallize"" was the one that gained 1.3 million views on YouTube in just one day when it was released in 2011.

Step 3: Reflect on the answer.
This answer is supported by the context of Lindsey Stirling's career and her early success in the YouTube era. The ""Crystallize"" video was indeed one of her breakthrough hits, known for its unique blend of electronic music and dance, which resonated with a wide audience on YouTube.

Final Answer: The Lindsey Stirling song whose video received 1.3 million views on YouTube after one day is ""Crystallize."" This information is consistent with her career timeline and the impact of her early videos on the platform.",False
Self-Reflection,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,"Step 1: Understand the question and any provided context.
The question asks about the 1st Battle of Kharkov and specifically inquires about the German field army that named it and when that field army was born (established).

Step 2: Generate the answer.
The 1st Battle of Kharkov took place from February 19 to March 8, 1943. The battle was named by the German 6th Army, which was established on August 20, 1942.

Step 3: Reflect.
This answer is supported by historical records. The 6th Army was indeed established in 1942 and participated in the 1st Battle of Kharkov in 1943. The timing aligns correctly with the establishment of the army and its involvement in the battle.

Final Answer and Reflection:
The 1st Battle of Kharkov was named by the German 6th Army, which was born (established) in 1942. This answer is fully supported by historical records and timelines of World War II events.",False
Self-Reflection,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,"Step 1: Understand the question and any provided context.
The question asks about the nationality of the rock band Heart, which is mentioned as being part of the musical blend in Power Balladz, a live comedy performance.

Step 2: Generate the answer.
Heart is a rock band that originated in Vancouver, British Columbia, Canada. They found their initial success in Canada before expanding their reach to the United States and eventually becoming a global phenomenon. Therefore, Heart is of Canadian nationality.

Step 3: Reflect on the answer.
This answer is fully supported by the context provided in the question. The information about Heart's origin in Canada and their success in both the United States and worldwide is consistent with known facts about the band. No revision is necessary.

Final Answer: Heart is of Canadian nationality.",False
Self-Reflection,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,"Step 1: Understand the question and any provided context.
The question asks about Kazuhito Kosaka, a Japanese comedian who performs under the stage name Daimaou Kosaka. It also mentions that he uses a fictional singer-songwriter identity with a specific name and is famous for a particular song.

Step 2: Generate the answer.
Kazuhito Kosaka, performing as Daimaou Kosaka, uses the fictional singer-songwriter identity ""Pineapple Pen."" He is best known for his viral hit song ""PPAP (Pen-Pineapple-Apple-Pen).""

Step 3: Reflect on the answer.
This answer is fully supported by the context provided in the question. The name ""Pineapple Pen"" is indeed the fictional identity of the singer-songwriter associated with Daimaou Kosaka, and ""PPAP"" is the song that made him internationally famous. Therefore, no revision is necessary.

Final Answer: Kazuhito Kosaka, performing as Daimaou Kosaka, uses the fictional singer-songwriter identity ""Pineapple Pen"" and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen).""",False
Self-Reflection,What was the population of the terminus of the Willunga railway line in 2011,"2,416","Step 1: Understand the question and any provided context.
The question asks for the population of the terminus of the Willunga railway line in 2011. The Willunga railway line is a historical railway line that operated from 1879 to 1956, connecting Willunga to the main railway network in South Australia. The terminus would be the last station on this line, which was Willunga itself.

Step 2: Generate the answer.
To find the population of Willunga in 2011, we need to look at census data from that year. According to the Australian Bureau of Statistics (ABS), the population of Willunga in 2011 was 1,488.

Step 3: Reflect.
This answer is fully supported by the context or my knowledge. The Australian Bureau of Statistics provides reliable and official population data for all Australian towns and cities, including Willunga. Therefore, the population of Willunga in 2011 was 1,488.

Final Answer: The population of the terminus of the Willunga railway line (Willunga itself) in 2011 was 1,488.",False
Self-Reflection,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"Step 1: Understand the question and any provided context.
The question asks about Gaten Matarazzo's early acting experience on Broadway, specifically in which production of ""Priscilla, Queen of the Desert.""

Step 2: Generate the answer.
Gaten Matarazzo began his career on the Broadway stage as the character of Ray in the musical ""Priscilla, Queen of the Desert.""

Step 3: Reflect.
This answer is fully supported by the context provided in the question. The question directly mentions that Gaten Matarazzo began his career on the Broadway stage in ""Priscilla, Queen of the Desert,"" and asks for the specific character he played. Therefore, the answer is accurate and complete.

Final Answer: Gaten Matarazzo began his career on the Broadway stage as the character of Ray in ""Priscilla, Queen of the Desert.""",False
Self-Reflection,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,"Step 1: Understand the question and any provided context.
The question asks about the author of the lyrics for the song ""Portofino"" from the musical ""Fiddler on the Roof."" It specifically mentions that the songwriter had a collaborator.

Step 2: Generate the answer.
The lyrics to ""Portofino"" were written by Sheldon Harnick, who collaborated with Jerry Bock on the music for ""Fiddler on the Roof.""

Step 3: Reflect on the answer.
This answer is supported by the context provided in the question. The collaboration between Sheldon Harnick and Jerry Bock is well-documented in the history of ""Fiddler on the Roof."" Harnick was responsible for the lyrics, while Bock composed the music. Therefore, the answer is accurate and fully supported by the information given.

Final Answer: Sheldon Harnick wrote the lyrics to ""Portofino"" with his collaborator Jerry Bock on ""Fiddler on the Roof.""",False
Self-Reflection,What Hockey team does Evander Kane play for?,Buffalo Sabres,"Step 1: Understand the question and any provided context.
The question asks about which NHL (National Hockey League) team Evander Kane currently plays for.

Step 2: Generate the answer.
As of the 2023-2024 season, Evander Kane plays for the Vegas Golden Knights in the National Hockey League (NHL).

Step 3: Reflect on the answer.
This answer is based on the most recent information available. However, player contracts can change, and teams can make trades or signings at any time. To ensure accuracy, one would need to check the latest updates from reliable sports news sources or the official NHL website. As of now, the answer is correct and fully supported by the context and my knowledge.

Final Answer: Evander Kane plays for the Vegas Golden Knights in the NHL.",False
Self-Reflection,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,"Step 1: Understand the question and any provided context.
The question asks about a specific castle in the border region of Scotland where Hermitage Water passes through. The key elements are ""castle,"" ""border region of Scotland,"" and ""Hermitage Water.""

Step 2: Generate the answer.
The castle in the border region of Scotland where Hermitage Water passes through is Hermitage Castle.

Step 3: Reflect on the answer.
This answer is supported by historical records and geographical information. Hermitage Castle is located in the Scottish Borders area, near the River Tweed, and the Hermitage Water (also known as the River Liddel) flows through the grounds of the castle. The castle has a long history dating back to the 13th century and has been an important site in the border regions between Scotland and England.

Final Answer: The castle in the border region of Scotland where Hermitage Water passes through is Hermitage Castle.

Reflection: This answer is fully supported by the context and my knowledge. Hermitage Castle is indeed situated in the Scottish Borders and is known for the River Liddel (Hermitage Water) flowing through its grounds, making it a significant landmark in the region's history and geography.",True
